rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
104,frame_0378.jpg,151.2,0.445,0.5152,0.5714,0.08,8,4,False,False
105,frame_0385.jpg,154.0,0.4426,0.5481,0.4286,0.2,4,3,False,False
106,frame_0209.jpg,83.6,0.4412,0.4229,0.2857,0.72,3,2,False,False
107,frame_0186.jpg,74.4,0.4406,0.5223,0.5714,0.04,9,4,False,False
108,frame_0315.jpg,126.0,0.4406,0.4904,0.5714,0.12,8,4,False,False
109,frame_0307.jpg,122.8,0.4377,0.3668,0.7143,0.2,7,5,False,False
110,frame_0176.jpg,70.4,0.4356,0.4323,0.5714,0.24,7,4,False,False
111,frame_0188.jpg,75.2,0.4353,0.5118,0.5714,0.04,7,4,False,False
112,frame_0203.jpg,81.2,0.4351,0.3571,0.4286,0.64,4,3,False,False
113,frame_0105.jpg,42.0,0.4278,0.4808,0.5714,0.08,5,4,False,False
114,frame_0185.jpg,74.0,0.4272,0.4796,0.5714,0.08,8,4,False,False
115,frame_0233.jpg,93.2,0.4259,0.4987,0.4286,0.24,6,3,False,False
116,frame_0115.jpg,46.0,0.4256,0.3804,0.5714,0.32,6,4,False,False
117,frame_0173.jpg,69.2,0.4233,0.4454,0.4286,0.36,7,3,False,False
118,frame_0068.jpg,27.2,0.4225,0.2735,0.2857,1.0,5,2,False,False
119,frame_0002.jpg,0.8,0.422,0.2725,0.2857,1.0,5,2,False,False
120,frame_0283.jpg,113.2,0.4213,0.3775,0.4286,0.52,5,3,False,False
121,frame_0229.jpg,91.6,0.4194,0.464,0.5714,0.08,8,4,False,False
122,frame_0131.jpg,52.4,0.4166,0.2778,0.2857,0.96,5,2,False,False
123,frame_0089.jpg,35.6,0.4158,0.4144,0.4286,0.4,6,3,False,False
124,frame_0398.jpg,159.2,0.4128,0.4725,0.4286,0.24,7,3,False,False
125,frame_0184.jpg,73.6,0.4125,0.4501,0.5714,0.08,5,4,False,False
126,frame_0183.jpg,73.2,0.411,0.4632,0.5714,0.04,4,4,False,False
127,frame_0120.jpg,48.0,0.4101,0.355,0.4286,0.52,5,3,False,False
128,frame_0384.jpg,153.6,0.4088,0.4965,0.4286,0.16,6,3,False,False
129,frame_0395.jpg,158.0,0.4086,0.4264,0.5714,0.12,6,4,False,False
130,frame_0302.jpg,120.8,0.4065,0.3958,0.4286,0.4,7,3,False,False
131,frame_0304.jpg,121.6,0.4064,0.4277,0.4286,0.32,7,3,False,False
132,frame_0202.jpg,80.8,0.4038,0.3962,0.2857,0.6,5,2,False,False
133,frame_0023.jpg,9.2,0.4034,0.321,0.1429,1.0,4,1,False,False
134,frame_0226.jpg,90.4,0.4022,0.4455,0.5714,0.04,5,4,False,False
135,frame_0313.jpg,125.2,0.3985,0.6096,0.2857,0.04,2,2,False,False
136,frame_0305.jpg,122.0,0.3968,0.4244,0.4286,0.28,5,3,False,False
137,frame_0024.jpg,9.6,0.3932,0.3007,0.1429,1.0,4,1,False,False
138,frame_0013.jpg,5.2,0.3916,0.2975,0.1429,1.0,4,1,False,False
139,frame_0215.jpg,86.0,0.3877,0.3262,0.4286,0.48,4,3,False,False
140,frame_0322.jpg,128.8,0.3855,0.4499,0.4286,0.16,6,3,False,False
141,frame_0032.jpg,12.8,0.3832,0.3665,0.0,1.0,5,0,False,False
142,frame_0096.jpg,38.4,0.3817,0.4582,0.4286,0.12,7,3,False,False
143,frame_0177.jpg,70.8,0.3817,0.3406,0.5714,0.2,6,4,False,False
144,frame_0078.jpg,31.2,0.3812,0.3406,0.1429,0.84,7,1,False,False
145,frame_0027.jpg,10.8,0.3811,0.2764,0.1429,1.0,4,1,False,False
146,frame_0211.jpg,84.4,0.3809,0.42,0.1429,0.64,2,1,False,False
147,frame_0299.jpg,119.6,0.3806,0.2961,0.4286,0.52,7,3,False,False
148,frame_0314.jpg,125.6,0.3791,0.469,0.4286,0.08,7,3,False,False
149,frame_0108.jpg,43.2,0.3777,0.4822,0.4286,0.04,7,3,False,False
150,frame_0323.jpg,129.2,0.3763,0.3618,0.5714,0.12,7,4,False,False
151,frame_0132.jpg,52.8,0.376,0.2663,0.1429,1.0,7,1,False,False
152,frame_0124.jpg,49.6,0.3755,0.3076,0.2857,0.68,7,2,False,False
153,frame_0174.jpg,69.6,0.3752,0.3652,0.4286,0.32,5,3,False,False
